Org_ID,Organization_Name,Country,Geography_Region,Website,Cancer_Type_Focus,Org_Type,Annual_Budget_USD_approx,Research_Spend_USD_approx,Charity_Reg_Number,CEO_Executive_Director,CSO_Head_of_Research,Head_of_Grants,Board_Chair,Contact_Email_General,LinkedIn_CEO,Strategic_Priorities,Partnership_Programs,Datasets_Maintained,Notes
US001,American Cancer Society (ACS),USA,US,cancer.org,Pan-cancer,Charity/Research/Advocacy,800M+,200M+,N/A (US 501c3),Shane Jacobson (CEO),Dr. William Dahut (CSO),See website,Terri McClements (Board Chair),info@cancer.org,linkedin.com/in/shane-jacobson,"Research, advocacy, patient support, health equity","ACS CAN, St. Baldrick's, Flatiron Health, Lisa Dean Moseley Foundation","Cancer Statistics Database, ACS Cancer Facts & Figures",Largest US cancer charity; $80.7M in new grants Apr 2026
US002,American Association for Cancer Research (AACR),USA,US,aacr.org,Pan-cancer,Scientific Society/Research,200M+,150M+,,Dr. Philip Greenberg (President),See website,grants@aacr.org,See website,info@aacr.org,See website,"Translational research, precision medicine, health equity","Industry partnerships, NCI, Stand Up To Cancer","AACR Project GENIE (271,837 samples/227,696 patients; cBioPortal/Synapse)","Annual meeting 50,000+ attendees"
US003,National Cancer Institute (NCI) / NIH,USA,US,cancer.gov,Pan-cancer,Government Agency,7B+,7B+,,Dr. W. Kimryn Rathmell (Director),See website,ncicancercenters@mail.nih.gov,See website,nciinfo@nih.gov,See website,"Basic/translational/clinical research, SEER, GDC, CRDC","NCI-designated Cancer Centers (71), NCTN, NCORP","SEER (1975-2023), GDC, CRDC (17PB+), CDAS, NCI Data Catalog",Primary US federal cancer research funder
US004,Stand Up To Cancer (SU2C),USA,US,standuptocancer.org,Pan-cancer,Charity/Research Funder,100M+,80M+,,Sung Poblete (CEO),See website,grants@standuptocancer.org,See website,info@standuptocancer.org,See website,"Collaborative team science, health equity, near-term patient benefit","AACR (scientific partner), CRUK, entertainment industry",None public,No traditional grant cycles; RFAs opened as funds available
US005,Cancer Research Institute (CRI),USA,US,cancerresearch.org,Pan-cancer (Immunotherapy),Charity/Research Funder,50M+,40M+,,Jill O'Donnell-Tormey (CEO),See website,grants@cancerresearch.org,See website,info@cancerresearch.org,See website,"Cancer immunotherapy, tumor immunology","Industry, academic medical centers",ClinicalTrials database (immunotherapy),Funds immunotherapy research globally
US006,V Foundation for Cancer Research,USA,US,jimmyv.org,Pan-cancer,Charity/Research Funder,50M+,40M+,,John R. McKeen (President & CEO) [unverified],See website,grants@jimmyv.org,See website,info@jimmyv.org,See website,"Translational research, health disparities, early-career scientists","ESPN, sports industry, university partnerships",None public,Revenue grew 190% under Jacobson; now led by new CEO
US007,Conquer Cancer (ASCO Foundation),USA,US,conquer.org,Pan-cancer,Foundation/Research Funder,50M+,40M+,,Nancy R. Daly (Chief Executive Officer),See website,grants@conquer.org,See website,grants@conquer.org,See website,"Clinical/translational oncology, career development, global oncology","ASCO, pharma industry, patient advocacy orgs",None public,"$203M+ awarded since 1984; 9,800+ grants"
US008,American Institute for Cancer Research (AICR),USA,US,aicr.org,Pan-cancer (diet/lifestyle),Charity/Research Funder,30M+,20M+,,Dr. Michael J. Thun (President & CEO) [unverified],See website,grants@aicr.org,See website,aicrweb@aicr.org,See website,"Diet, nutrition, physical activity and cancer prevention/survivorship",World Cancer Research Fund International,WCRF/AICR Cancer Prevention Recommendations database,US arm of WCRF International
US009,Prevent Cancer Foundation,USA,US,preventcancer.org,Pan-cancer (prevention),Charity/Advocacy,20M+,15M+,,Jody Hoyos (Chief Executive Officer),See website,See website,See website,info@preventcancer.org,See website,"Cancer prevention, early detection, health equity","Federal agencies, corporate partners",None public,Focus on underserved populations
US010,CancerCare,USA,US,cancercare.org,Pan-cancer (support),Charity/Patient Support,30M+,,,Patricia J. Goldsmith (CEO),,,See website,info@cancercare.org,See website,"Free professional support services, financial assistance","Pharma, foundations",None public,Founded 1944; free oncology social work services
US011,Cancer Support Community,USA,US,cancersupportcommunity.org,Pan-cancer (support),Charity/Patient Support,50M+,,,Sally Werner (Chief Executive Officer),,,Jonathan T. Marks,info@cancersupportcommunity.org,See website,"Psychosocial support, 175 locations globally, research on patient experience","Gilda's Club network, healthcare systems",Patient experience research data,$50M+ in free support services annually
US012,Leukemia & Lymphoma Society (LLS),USA,US,lls.org,Blood cancers,Charity/Research/Advocacy,400M+,100M+,,Dr. Gwen Nichols (Chief Medical Officer) / Kathleen Sheridan (CEO),See website,grants@lls.org,See website,infocenter@lls.org,See website,"Blood cancer research, patient access, advocacy","Pharma, NCI, academic centers","LLS PatientsLikeMe data, Beat AML trial data",Largest blood cancer nonprofit globally
US013,Susan G. Komen,USA,US,komen.org,Breast cancer,Charity/Research/Advocacy,200M+,50M+,,Paula Schneider (CEO),See website,researchhelpdesk@komen.org,See website,helpline@komen.org,See website,"Breast cancer research, patient support, health equity","Lobular Breast Cancer Alliance, pharma",ShareForCures patient data platform,Largest breast cancer org in US
US014,Breast Cancer Research Foundation (BCRF),USA,US,bcrf.org,Breast cancer,Charity/Research Funder,100M+,60M+,,Naomi Bhatt (CEO),See website,grants@bcrf.org,See website,info@bcrf.org,See website,Breast cancer research across full spectrum,Academic centers globally,None public,Highest-rated breast cancer research org
US015,Pancreatic Cancer Action Network (PanCAN),USA,US,pancan.org,Pancreatic cancer,Charity/Research/Advocacy,60M+,20M+,,Julie Fleshman (President & CEO),See website,research@pancan.org,See website,info@pancan.org,See website,"Pancreatic cancer research, patient services, advocacy","AACR (peer review), NCI, pharma",Know Your Tumor precision medicine registry,$5.1M+ in 2014 grants; ongoing research program
US016,Lustgarten Foundation,USA,US,lustgarten.org,Pancreatic cancer,Charity/Research Funder,30M+,25M+,,"John L. Cameron, MD (President & CEO) [unverified]",See website,research@lustgarten.org,See website,info@lustgarten.org,See website,"Pancreatic cancer early detection, therapeutics, personalized medicine","NCI, academic centers",None public,Innovation & Collaboration Program; LOI deadline Jan 5 2026
US017,Ovarian Cancer Research Alliance (OCRA),USA,US,ocrahope.org,Ovarian/gynecologic cancer,Charity/Research/Advocacy,30M+,15M+,,Audra Moran (President & CEO),See website,research@ocrahope.org,See website,info@ocrahope.org,See website,"Ovarian/gynecologic cancer research, patient advocacy","Rivkin Center (merged), ASCO",None public,$140M+ in 400+ grants; 2027 grant cycle LOI opens Feb 25 2026
US018,Prostate Cancer Foundation (PCF),USA,US,pcf.org,Prostate cancer,Charity/Research Funder,100M+,80M+,,"Charles J. Ryan, MD (President & CEO)",See website,grants@pcf.org,Dr. Michael Milken,info@pcf.org,See website,"Prostate cancer research, precision oncology","NCI, pharma, academic centers",None public,Largest private funder of prostate cancer research
US019,LUNGevity Foundation,USA,US,lungevity.org,Lung cancer,Charity/Research/Advocacy,20M+,15M+,,Andrea Ferris (President & CEO),See website,research@lungevity.org,See website,info@lungevity.org,See website,"Lung cancer research, biomarker research, patient support","RETpositive, pharma, NCI",None public,RETpositive/LUNGevity pan-cancer RET grant program
US020,Melanoma Research Foundation (MRF),USA,US,melanoma.org,Melanoma/skin cancer,Charity/Research/Advocacy,15M+,10M+,,"Kyleigh LiPira, MBA (Chief Executive Officer)",See website,grants@melanoma.org,Doug Brodman,info@melanoma.org,See website,"Melanoma research, patient education, advocacy","Academic centers, pharma",None public,Largest melanoma-specific nonprofit
US021,National Brain Tumor Society (NBTS),USA,US,braintumor.org,"Brain tumors (all types, GBM focus)",Charity/Research/Advocacy,20M+,10M+,,David Arons (Chief Executive Officer),See website,research@braintumor.org,Michael Nathanson,info@braintumor.org,See website,"Brain tumor research, GBM AGILE trial, policy advocacy (BRAIN Act)","Brain Tumor Funders Collaborative, FDA, pharma",None public,$52M+ in research grants; Sharpe-NBTS GBM Awards
US022,American Brain Tumor Association (ABTA),USA,US,abta.org,"Brain tumors (all types, GBM focus)",Charity/Research/Advocacy,10M+,5M+,,Kelly Sitkin (President and Chief Executive Officer),See website,research@abta.org,See website,info@abta.org,See website,"Brain tumor research, patient support, GBM awareness","Pharma (Servier, Boston Scientific, Novocure, Imvax, Telix)",None public,$1.3M+ in 31 grants in 2025; Discovery Grant for GBM
US023,Ben & Catherine Ivy Foundation,USA,US,ivyfoundation.org,GBM/brain cancer,Charity/Research Funder,50M+,40M+,,"Dr. Michael J. McGowan, President & CEO [unverified]",See website,grants@ivyfoundation.org,See website,info@ivyfoundation.org,See website,"GBM translational research, Phase 0 clinical trials",Ivy Brain Tumor Center (Barrow Neurological),None public,$179M invested; NOT accepting grant proposals in 2026
US024,Sontag Foundation,USA,US,sontagfoundation.org,Brain cancer,Charity/Research Funder,20M+,15M+,,Dr. Michael J. Sontag (Founder & CEO) [unverified],See website,apply@sontagfoundation.org,See website,info@sontagfoundation.org,See website,"Early-career brain cancer scientists, bold/innovative research",Academic centers,None public,$85M+ invested; Distinguished Scientist Award $750K annually
US025,Glioblastoma Research Organization,USA,US,gbmresearchsociety.org,GBM,Charity/Research Funder,5M+,4M+,,Unknown (needs verification),See website,See website,See website,info@gbmresearchsociety.org,See website,"GBM research, young investigators, interdisciplinary collaboration",Academic centers,None public,Combines patient data with research
US026,Daniel W. Offit Fund to Fight Glioblastoma,USA,US,danielwoffitfund.org,GBM,Charity/Venture Philanthropy,10M+,8M+,,Connor Dowling (Founding Executive Director),See website,See website,See website,info@danielwoffitfund.org,See website,"Venture philanthropy model; early-stage GBM research, diagnostics, care","Scientific Advisory Board, biotech startups",None public,Bridges discovery to bedside; recycling investment returns
